,all_reviews,release_date,developer,game_details,languages,achievements,genre,mature_content,original_price
0,92,"May 12, 2016",id Software,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese']",54.0,Action,,19.99
1,49,"Dec 21, 2017",PUBG Corporation,"Multi-player,Online Multi-Player,Stats","['English', 'Korean', 'Simplified Chinese', 'French', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Polish', 'Portuguese', 'Russian', 'Turkish', 'Thai', 'Italian', 'Portuguese - Brazil', 'Traditional Chinese', 'Ukrainian']",37.0,"Action,Adventure,Massively Multiplayer"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",29.99
2,71,"Apr 24, 2018",Harebrained Schemes,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'German', 'Russian']",128.0,"Action,Adventure,Strategy",,39.99
3,61,"Dec 13, 2018",Bohemia Interactive,"Multi-player,Online Multi-Player,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",,"Action,Adventure,Massively Multiplayer",,44.99
4,74,"May 6, 2003",CCP,"Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards","['English', 'German', 'Russian', 'French']",,"Action,Free to Play,Massively Multiplayer,RPG,Strategy",,0
6,92,"Mar 7, 2019","CAPCOM Co., Ltd","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']",51.0,Action," Mature Content Description  The developers describe the content like this:  WARNING: This game contains strong language, violence and nudity.  ",59.99
7,91,"Jul 22, 2016",No Brakes Games,"Single-player,Online Multi-Player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats","['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Italian', 'Simplified Chinese', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Thai', 'Turkish', 'Ukrainian']",55.0,"Adventure,Indie",,14.99
8,85,"Dec 12, 2017",Numantian Games,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","['English', 'Spanish - Spain', 'French', 'German', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Italian']",34.0,"Strategy,Early Access",,29.99
9,44,"May 31, 2019",Eko Software,"Single-player,Multi-player,Co-op,Online Co-op,Local Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Spanish - Latin America', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian']",43.0,"Action,Adventure,RPG"," Mature Content Description  The developers describe the content like this:  This game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence  ",49.99
10,83,"Apr 19, 2018",IronOak Games,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Polish', 'Japanese', 'Korean']",72.0,"Adventure,Indie,RPG,Strategy",,19.99
11,84,"Sep 25, 2017","Spike Chunsoft Co., Ltd","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",41.0,Adventure,,39.99
12,78,"May 5, 2015","Bluehole, Inc","Multi-player,MMO,Co-op,Steam Trading Cards,Partial Controller Support",['English'],,"Action,Adventure,Free to Play,Massively Multiplayer,RPG"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: General Mature Content  ",0 to Play
13,51,"Jul 27, 2017","Raven Software,Beenox","Single-player,Online Multi-Player,Online Co-op,Steam Achievements","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",50.0,Action,,1.020
14,75,"Jul 25, 2018",Radiant Entertainment,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Steam Trading Cards,Steam Workshop",['English'],,"Indie,Simulation,Strategy",,19.99
16,94,"Mar 16, 2017",Doborog Games,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Captions available,Steam Workshop,Steam Cloud,Includes level editor",['English'],12.0,"Action,Indie,Early Access",,14.99
17,77,"Feb 7, 2019",BANDAI NAMCO Studios Inc,"Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","['English', 'Japanese', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese']",32.0,Action,,59.99
18,44,"Apr 5, 2018",Pixonic,"Multi-player,Online Multi-Player,Steam Trading Cards,In-App Purchases","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Thai', 'Traditional Chinese', 'Turkish']",,"Action,Free to Play",,0 To Play
19,88,"Apr 20, 2017","Ensemble Studios,Behaviour Interactive,343 Industries","Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Russian', 'Traditional Chinese']",75.0,Strategy,,19.99
20,84,"Nov 9, 2010",Treyarch,"Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Valve Anti-Cheat enabled","['English', 'German', 'Italian', 'Spanish - Spain', 'French']",68.0,Action,,1.020
21,97,"Apr 9, 2019","CAPCOM Co., Ltd","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","['English', 'Japanese']",30.0,Adventure,,29.99
22,70,"May 21, 2019",Sumo Digital,"Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Russian', 'Traditional Chinese']",51.0,Racing,,39.99
23,90,"Aug 31, 2016","Iron Lore Entertainment,THQ Nordic","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Polish', 'Russian', 'Japanese', 'Korean', 'Simplified Chinese', 'Ukrainian']",96.0,"Action,RPG",,19.99
24,63,"Dec 2, 2008","Rockstar North,Rockstar Toronto","Single-player,Multi-player,Partial Controller Support","['English', 'French', 'Italian', 'German', 'Spanish - Spain']",,"Action,Adventure",,19.99
26,97,"Oct 10, 2007",Valve,"Single-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available","['English', 'French', 'German', 'Russian', 'Danish', 'Dutch', 'Finnish', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean']",15.0,Action,,9.99
27,92,"Oct 23, 2015",RuneStorm,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor",['English'],85.0,"Indie,Simulation",,12.99
28,74,"Mar 27, 2018",Beamdog,"Single-player,Online Multi-Player,Online Co-op,Steam Trading Cards,Steam Workshop,Includes level editor","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish']",,RPG,,57.91
29,81,"Mar 23, 2018",Level-5,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Russian']",63.0,"Adventure,RPG",,59.99
30,60,"Mar 28, 2016","IMCGAMES Co.,Ltd","MMO,Steam Trading Cards,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled","['English', 'Portuguese - Brazil']",,"Free to Play,Massively Multiplayer,RPG",,0 to Play
31,91,"Aug 8, 2017",Ninja Theory,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Danish', 'Dutch', 'Finnish', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish']",14.0,"Action,Adventure,Indie"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",29.99
32,96,"Apr 18, 2016","Spike Chunsoft Co., Ltd.,Abstraction Games","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'Japanese', 'Traditional Chinese']",47.0,Adventure,,19.99
33,87,"Aug 1, 2018",SEGA,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","['English', 'Japanese']",55.0,"Action,Adventure,RPG"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",19.99
34,81,"Aug 21, 2017","Team17 Digital Ltd,Mouldy Toof Studios","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Italian']",58.0,"Indie,Simulation,Strategy",,19.99
35,91,"Nov 1, 2005",Pandemic Studios,"Single-player,Multi-player,Online Multi-Player,Partial Controller Support,Steam Cloud",['English'],,Action,,9.99
36,68,"Sep 2, 2008",KingsIsle Entertainment,"Online Multi-Player,MMO,In-App Purchases,Profile Features Limited 
									",['English'],,"Free to Play,Massively Multiplayer,RPG",,0 To Play
37,86,"Sep 26, 2018",DONTNOD Entertainment,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",46.0,Adventure," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity or Sexual Content, General Mature Content  ",7.99
38,87,"Feb 7, 2012","Big Huge Games,38 Studios","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","['English', 'French', 'German', 'Italian', 'Spanish - Spain']",61.0,"Action,RPG",,19.99
41,100,"Jun 13, 2019","KADOKAWA GAMES, LTD","Single-player,Full controller support","['English', 'Japanese', 'Traditional Chinese']",31.0,"Adventure,RPG,Simulation",,29.99
42,95,"Nov 1, 2004",Valve,"Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK","['English', 'French', 'German', 'Italian', 'Japanese', 'Korean', 'Spanish - Spain', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Thai', 'Turkish']",147.0,Action, Mature Content Description  The developers describe the content like this:  Includes intense violence and blood.  ,9.99
43,80,"Oct 13, 2014",Tango Gameworks,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Russian']",71.0,Action,,19.99
45,93,"Jan 11, 2019",FYQD-Studio,"Single-player,Partial Controller Support","['English', 'Simplified Chinese']",12.0,"Action,Adventure,Indie,Early Access"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing.  ",6.99
46,94,"Feb 16, 2006",Petroglyph,"Single-player,Multi-player,Online Multi-Player,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain']",,Strategy,,19.99
